ID,Name,Link,EIN,Overall Rating,Program Expenses,Administrative Expenses,Fundraising Expenses,Fundraising Efficiency,Working Capital Ratio (years),Program Expenses Growth,Liabilities to Assets,Independent Voting Board Members,No Material diversion of assets,Audited financials prepared by independent accountant,Does Not Provide Loan(s) to or Receive Loan(s) From related parties,Documents Board Meeting Minutes,Provided copy of Form 990 to organization's governing body in advance of filing,Conflict of Interest Policy,Whistleblower Policy,Records Retention and Destruction Policy,CEO listed with salary,Process for determining CEO compensation,Board Listed / Board Members Not Compensated,Donor Privacy Policy,Board Members Listed,Audited Financials,Form 990,Key staff listed
1091,Boys & Girls Clubs of South Puget Sound - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11236,91-1597689,91.97,0.8490,0.1020,0.0470,0.05,3.89,-0.0090,0.0080,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1092,Boys & Girls Clubs of Southeast Virginia - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14351,54-0515764,89.97,0.8390,0.1240,0.0360,0.05,1.26,0.0190,0.0580,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1093,Boys & Girls Clubs of Southeastern Michigan - MI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11129,38-1387123,83.99,0.7590,0.1620,0.0780,0.13,1.54,-0.0370,0.1020,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1094,Boys & Girls Clubs of Southern Maine - ME,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15222,01-0211543,91.54,0.8230,0.1120,0.0630,0.08,7.09,0.0410,< 0.1%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1095,Boys & Girls Clubs of Southern Nevada - NV,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13700,88-0093150,93.73,0.8630,0.0910,0.0440,0.05,3.85,0.0420,0.0410,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1096,Boys & Girls Clubs of Southwest Washington - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14781,91-1978646,89.39,0.8380,0.0990,0.0620,0.04,5.16,0.1050,0.0100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1097,Boys & Girls Clubs of Springfield - MO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8664,44-0513659,86.51,0.7930,0.1470,0.0590,0.06,2.82,0.0620,0.0090,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1098,Boys & Girls Clubs of St. Helena and Calistoga - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17056,68-0226714,90.61,0.7650,0.1300,0.1030,0.03,10.15,0.0820,0.0670,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1099,Boys & Girls Clubs of Syracuse - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12744,15-0532240,85.64,0.7750,0.1690,0.0540,0.06,1.29,0.0860,0.1980,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1100,Boys & Girls Clubs of Tampa Bay - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8017,59-0624368,94.22,0.8140,0.0770,0.1080,0.09,2.3,0.0690,0.0550,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1101,Boys & Girls Clubs of the Austin Area - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14277,74-6087356,91.83,0.7910,0.1550,0.0530,0.05,0.98,0.1120,0.1460,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1102,Boys & Girls Clubs of the East Valley - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8133,86-0550646,87.03,0.8490,0.0710,0.0790,0.11,0.52,0.0090,0.1390,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1103,Boys & Girls Clubs of the Emerald Coast - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12218,59-1267050,84.23,0.8270,0.1320,0.0400,0.05,0.11,0.1510,0.3880,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1104,Boys & Girls Clubs of the Fox Valley - WI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14270,39-1225709,96.55,0.8400,0.0760,0.0820,0.05,3.82,0.1460,0.1110,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1105,Boys & Girls Clubs of the Gulf Coast - MS,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13654,64-0539145,80.3,0.8540,0.1240,0.0200,0.04,4.16,-0.1680,0.0080,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1106,Boys & Girls Clubs of the Lowcountry - SC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8991,57-0811876,89.79,0.7980,0.1160,0.0850,0.13,2.45,0.0400,0.0430,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1107,Boys & Girls Clubs of the Midlands - NE,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13728,47-0467350,92.22,0.8530,0.0850,0.0610,0.04,3.64,0.0840,0.0350,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1108,Boys & Girls Clubs of the Peninsula - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10972,94-1552134,95.7,0.8190,0.1150,0.0640,0.05,2.56,0.0280,0.0290,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1109,Boys & Girls Clubs of the Suncoast - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9837,59-1566799,94,0.8390,0.0930,0.0660,0.06,1.1,0.1610,0.1440,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1110,Boys & Girls Clubs of the Tennessee Valley - TN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17055,62-0475743,89.37,0.7810,0.1590,0.0590,0.06,0.83,0.1080,0.5690,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1111,Boys & Girls Clubs of the Upstate - SC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16694,57-0862226,86.84,0.8760,0.0690,0.0530,0.05,0.97,-0.0990,0.0620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1112,Boys & Girls Clubs of Thurston County - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14777,91-2124629,84.22,0.8120,0.0940,0.0920,0.10,1.77,-0.0110,0.0220,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1113,Boys & Girls Clubs of Truckee Meadows - NV,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9748,88-0142068,92.22,0.8760,0.0930,0.0290,0.04,4.65,0.0970,0.0370,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1114,Boys & Girls Clubs of Tucson - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7700,86-0172257,90.61,0.7760,0.1280,0.0950,0.12,2.03,0.0220,0.0540,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1115,Boys & Girls Clubs of Wake County - NC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12527,56-0863051,91.26,0.8470,0.0800,0.0720,0.06,1.66,0.0250,0.0060,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1116,Boys & Girls Clubs of Wichita Falls - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15403,75-0883102,88.22,0.8440,0.1230,0.0310,< $0.01,4.88,-0.0080,0.0020,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1117,Boys & Girls Clubs of Yellowstone County - MT,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13593,81-0308003,77.6,0.7570,0.1660,0.0760,0.09,0.65,0.1160,0.1130,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1118,"Boys & Girls Harbor, New York - NY",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3383,13-6015256,72.09,0.6940,0.2310,0.0730,0.42,0.16,-0.0740,0.2250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1119,Boys & Girls Ranches of Alabama - AL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13639,63-0475713,90.81,0.7870,0.1330,0.0780,0.16,9.28,0.0540,0.0410,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1120,Boys & Girls Clubs of the Virginia Peninsula - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14554,54-0538202,96.46,0.8650,0.1040,0.0300,0.03,2.06,0.0960,0.2510,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1121,"Boys and Girls Country of Houston, Inc. - TX",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7309,74-6026198,89.16,0.8210,0.0650,0.1130,0.12,3.24,0.0050,0.0140,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1122,Boys and Girls Home of North Carolina - NC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10085,58-1387871,89.21,0.8740,0.0840,0.0400,0.04,2.01,0.0630,0.0430,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1123,The Boys' Club of New York - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5014,13-5591750,88.24,0.7930,0.1210,0.0850,0.19,2.39,-0.0370,0.0700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1124,Boys Hope Girls Hope International - MO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5351,51-0182614,95.33,0.8500,0.1340,0.0140,0.02,0.89,0.0530,0.0370,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1125,"Boys Hope Girls Hope, Affiliates  - MO",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7043,43-1209928,84.8,0.7410,0.1410,0.1170,0.10,2.27,-0.0170,0.0870,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1126,Boys Town - NE,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8607,47-0376606,90.45,0.8080,0.0970,0.0940,0.34,3.61,0.0520,0.1110,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1127,Boys Town Jerusalem Foundation of America - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5986,11-5324002,83.6,0.7780,0.0830,0.1370,0.20,4.25,-0.0240,0.0140,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1128,BRAC USA - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13187,20-8456741,85.85,0.9390,0.0280,0.0320,0.03,0.55,-0.1460,0.6120,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1129,Bradley Free Clinic of Roanoke Valley - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14045,23-7380491,85.43,0.9130,0.0610,0.0250,0.02,2.53,-0.0220,0.0080,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1130,Brady Center To Prevent Gun Violence - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5426,52-1285097,70.11,0.5350,0.2440,0.2190,0.20,0.64,-0.1170,0.2010,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1131,Braille Institute of America - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3385,95-1641426,87.11,0.7530,0.1000,0.1450,0.16,6.13,-0.0370,0.0360,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1132,Brain & Behavior Research Foundation - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4153,31-1020010,90.71,0.8950,0.0660,0.0380,0.03,0.27,0.1140,0.6320,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1133,Brain Research Foundation - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10794,36-2477928,91.34,0.7940,0.0740,0.1310,0.26,5.41,0.0520,0.0420,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1134,Brandywine Valley SPCA - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6816,23-1381030,91.31,0.8470,0.0970,0.0550,0.28,1.62,0.4670,0.1460,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1135,Brave New Films - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16570,94-3209789,86.63,0.7720,0.1140,0.1130,0.09,1.53,-0.0400,< 0.1%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1136,Bravo! Vail - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9717,84-1074065,83.62,0.6520,0.2610,0.0860,0.13,0.38,0.1360,0.1820,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1137,BrazilFoundation - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11846,13-4131482,85.85,0.8520,0.0910,0.0550,0.11,0.47,-0.0850,0.0490,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1138,Brazos Valley Food Bank - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9682,74-2380446,94.94,0.9730,0.0150,0.0110,< $0.01,0.56,0.0760,0.0100,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1139,Bread & Roses Presents - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8310,94-2260301,72.59,0.7190,0.0830,0.1970,0.22,0.43,-0.0260,0.0540,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1140,Bread for the City - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8172,52-1138207,92.61,0.8780,0.0340,0.0860,0.09,0.67,0.1220,0.6350,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1141,Bread for the World Institute - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5376,51-0175510,88.98,0.8390,0.0510,0.1080,0.12,1.66,0.0390,0.0620,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1142,Bread of Life Mission - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10120,91-6057907,79.08,0.6900,0.1160,0.1930,0.22,0.87,-0.0400,0.0500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1143,Bread of the Mighty Food Bank - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13724,59-2805577,77.01,0.9470,0.0380,0.0140,< $0.01,0.1,0.1160,0.4340,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1144,Breakthrough - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6149,36-3810926,96.46,0.8680,0.0520,0.0780,0.08,1.87,0.1450,0.3870,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1145,Breakthrough Collaborative - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11581,94-3140620,81.58,0.7370,0.1630,0.0980,0.15,0.3,-0.0260,0.1860,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1146,"Breakthrough, Central Texas - TX",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15923,74-2991346,90.18,0.7810,0.0970,0.1210,0.11,1.61,0.2150,0.0050,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1147,Breast Cancer Alliance - CT,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12146,06-1453500,81.31,0.8210,0.1020,0.0760,0.06,0.17,0.0180,0.6850,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1148,Breast Cancer Prevention Partners - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7453,94-3155886,90,0.7930,0.0950,0.1100,0.12,0.37,0.1240,0.2620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1149,Breast Cancer Research Foundation - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5001,13-3727250,89.39,0.8870,0.0290,0.0820,0.08,0.23,0.0880,0.7500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1150,Breast Cancer Resource Center - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13042,74-2743333,88.23,0.7630,0.0950,0.1410,0.14,0.63,0.1360,0.0550,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1151,Breastcancer.org - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9417,23-3082851,89.32,0.7960,0.0820,0.1210,0.19,0.63,0.0550,0.1770,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1152,Breathe California of Los Angeles County - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7924,95-1641451,91.52,0.7720,0.1130,0.1130,0.12,2.8,0.2180,0.1460,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1153,Breathe California of the Bay Area - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8805,94-1156307,85.13,0.8180,0.1040,0.0770,0.11,0.38,0.0510,0.5490,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1154,"Breathe California, Golden Gate Public Health Partnership - CA",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11171,94-0836760,83.03,0.7980,0.1350,0.0660,0.10,0.54,-0.0200,0.7550,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1155,Brennan Center for Justice at NYU School of Law - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5007,13-3839293,90.88,0.7340,0.1610,0.1040,0.07,1.54,0.0910,0.1500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1156,Bridge Builders International - OR,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7421,93-1162941,90.64,0.7370,0.1850,0.0760,0.07,0.22,0.1410,0.0900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1157,Bridge Communities - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8832,36-3705951,91.44,0.8310,0.0520,0.1160,0.14,3.5,0.0590,0.1960,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1158,The Bridge for Youth - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15131,41-0983062,90.19,0.8570,0.0580,0.0830,0.08,1.43,0.0700,0.4050,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1159,The Bridge Fund of New York - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10698,13-3824852,84.35,0.8920,0.0760,0.0300,0.03,0.25,0.0080,0.0180,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1160,Bridge House - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17063,84-1440292,95.05,0.8840,0.0530,0.0610,0.07,2.82,0.3440,0.0140,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1161,Bridge Over Troubled Waters - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10883,04-2472126,85.66,0.7230,0.1730,0.1020,0.10,1.57,0.2480,0.0850,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1162,Bridgeport Rescue Mission - CT,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9826,06-1362705,76.1,0.6930,0.0940,0.2110,0.20,0.41,0.0090,0.0730,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1163,Bridges Outreach - NJ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13459,22-3190141,93.11,0.8670,0.0820,0.0500,0.05,0.68,0.0570,0.0160,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1164,Bridges from School to Work - MD,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15474,52-1655740,79.84,0.6790,0.2760,0.0430,0.04,0.82,0.0610,0.0930,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
